class,placeId,score,name_kor,name_eng,location,결과,지번,x,y
restaurants,10677717,4,띤띤,Tintin,서울 용산구 회나무로13가길 23-6,정좌표,,126.990847,37.541195
restaurants,10677736,2.5,스페인포차비엔,Spain Pocha Bien,서울 중구 퇴계로 188,정좌표,,126.992507,37.560807
restaurants,10677791,4.5,금돼지식당,Gold Pig Restaurant,서울 중구 다산로 149,정좌표,,127.011651,37.557094
restaurants,10682201,4.5,세븐크래프트,Seven Craft,서울 마포구 독막로5길 33,정좌표,,126.918534,37.549448
restaurants,10682225,2.6,인기명 홍대점,Ingimyeong Hongdae,서울 마포구 양화로6길 33,정좌표,,126.916072,37.549137
restaurants,10682250,4.230769231,공릉닭한마리,Gongneung Dak Hanmari,서울 서대문구 연세로2길 77,정좌표,,126.941059,37.557131
restaurants,10686485,3,익동다방,Ikdong Dabang,서울 종로구 수표로28길 17-19,정좌표,,126.989338,37.573376
restaurants,10692532,2.857142857,제일제면소 서울역사점,Cheiljemyunso Seoul Yeoksa,서울 중구 한강대로 405,정좌표,,126.970712,37.554681
restaurants,10699073,3.428571429,Saint Augustin Parnas Mall / COEX,Saint Augustin Parnas Mall / COEX,서울 B1 Parnas Mall,광역시좌표,,126.977863,37.566412
restaurants,10701167,3.5,호토모토,Hotto Motto,서울 서울 중구 명동9가길 14,정좌표,,126.983722,37.565147
restaurants,1070251,3.595744681,게코스 가든,Gecko's Garden Restaurant & Bar,서울 용산구 이태원동 116-6,정좌표,,126.992999,37.535204
restaurants,10716647,5,뱃장,Baetjang,서울 마포구 동교로 212-28,정좌표,,126.924355,37.559431
restaurants,10716796,3.857142857,미스터힐링 명동점,Mister Healing Myeongdong,서울 중구 충무로 15,정좌표,,126.992574,37.562565
restaurants,10716999,5,프로이트,Freud,서울 용산구 이태원로20길 21,정좌표,,126.992356,37.533396
restaurants,10717075,3,먹쉬돈나 홍대점,Mukshidonna Hongdae,서울 마포구 홍익로6길 22,정좌표,,126.923067,37.555328
