class,placeId,score,name_kor,name_eng,location
hotels,309826,3.4820143884892087,해밀톤 호텔,Hamilton Hotel Seoul,"37.534782,126.993996"
hotels,3136705,4.346938775510204,에어호스텔 서울,Air Hostel Seoul,"37.571625,127.00347"
hotels,3154945,3.2,뉴 힐탑 호텔,New Hilltop Hotel,"37.51125,127.03197"
hotels,3154953,4.093425605536332,머큐어 서울 앰배서더 강남 쏘도베,Mercure Seoul Ambassador Gangnam Sodowe,"37.5015,127.03552"
hotels,3161529,4.5,해피 가든 게스트하우스,,"37.55804,126.98586"
hotels,3164518,3.8,제이비스 호텔,,"37.50515,127.05283"
hotels,3164521,4.678571428571429,남현당 게스트하우스,Namhyundang Guesthouse,"37.5738,126.98539"
hotels,3189967,4.7,DH 네상스 호텔,DH Naissance Hotel,"37.592617,127.01854"
hotels,3191662,4.3,에이블 호스텔 동대문,Able Hostel in Dongdaemun,"37.565037,127.00527"
hotels,3197505,4.75,해밀 한옥 게스트하우스,,"37.57661,126.99132"
hotels,3218799,2.7857142857142856,엘름 트리 게스트하우스,Elm Tree Guest House,"37.5615,126.97852"
hotels,323987,4.326388888888889,호텔 프린스 서울,Prince Hotel Seoul,"37.560825,126.98641"
hotels,3249513,4.5,명동 에코 게스트하우스,,"37.560448,126.98659"
hotels,3295599,4.521739130434782,곳,The Place Seoul,"37.579655,126.987366"
hotels,3326049,4.4,취운정,Chiwoonjung,"37.583202,126.9835"
hotels,3346189,3.8823529411764706,케이팝 레지던스 명동 1,K-POP Residence Myeongdong 1,"37.563442,126.98522"
hotels,3356431,4.222222222222222,블루밍 서비스드 레지던스 호텔,Blooming Serviced Residence Hotel,"37.500706,127.03883"
hotels,3356500,5.0,베스틴 레지던스 명동,,"37.56038,126.98712"
hotels,3358977,4.4,케이팝 게스트하우스 서울역,,"37.553226,126.97458"
hotels,3368813,3.8,호텔 첼로,Hotel Cello,"37.486168,127.0135"
hotels,3368857,3.6,게스트하우스 명동,,"37.56113,126.9876"
hotels,3369164,3.727272727272727,마루 게스트하우스,Guesthouse The Maru,"37.54976,126.96921"
hotels,3369181,4.0,호텔 더 디자이너스 삼성,,"37.507282,127.05543"
hotels,3370845,4.666666666666667,크립 49 게스트하우스,Crib 49 Guesthouse,"37.55708,126.98565"
hotels,3370998,4.0,블레싱 인 서울,Blessing In Seoul,"37.58672,127.05214"
hotels,3389037,4.108108108108108,아벤트리 호텔 종로,Hotel Aventree Jongno,"37.573086,126.98317"
hotels,3389245,3.6818181818181817,서울 53 호텔,Seoul 53 Hotel,"37.575,126.98944"
hotels,3477056,3.3333333333333335,코스테이,,"37.531998,126.8606"
hotels,3477065,4.4,서울앤호텔 동대문,Seoul N Hotel Dongdaemun,"37.573444,127.02077"
hotels,3477071,3.723076923076923,엔포시즌,N Fourseason,"37.557014,126.97975"
hotels,3477077,4.666666666666667,엔조이 서울,NJoy Seoul,"37.556686,126.923"
hotels,3477083,4.111940298507463,호텔 스카이파크 센트럴 명동,Hotel Skypark Central Myeongdong,"37.564648,126.98524"
hotels,3477158,4.199233716475096,콘래드 서울,,"37.525414,126.92662"
hotels,3477194,4.4,케이팝 레지던스 명동 2,,"37.56289,126.9856"
hotels,3479249,4.5,이태원 백팩커스,,"37.534,126.99994"
hotels,3497931,5.0,ICOS 게스트하우스,,"37.554768,126.9385"
hotels,3531770,4.904761904761905,유기농 게스트하우스,Yooginong Guesthouse,"37.553043,126.90741"
hotels,3540785,4.742857142857143,비 마이 게스트하우스,B My Guesthouse,"37.5586,126.983894"
hotels,3568790,4.166666666666667,오렌지 게스트하우스,Orange Guesthouse,"37.554794,126.91895"
