class,placeId,score,name_kor,name_eng,latitude,longitude
restaurants,12694466,4.666666666666667,916솜씨,916somsi koreandining,37.536415,127.01212
restaurants,12698984,4.25,남산의사계절,N.fourseason Bbq,37.557037,126.97958
restaurants,12707188,5.0,어탕국수 동묘점,Eotang Guksu Dongmyo,37.57093,127.01635
restaurants,12715268,3.5,호식이두마리치킨 남산서울타워점,Hosigi Dumari Chicken Namsan Seoul Tower,37.551357,126.98842
restaurants,12719317,4.166666666666667,더 마켓 키친,THE MARKET KITCHEN,37.570652,126.9757
restaurants,12726380,5.0,비스토리,B.story,37.55492,126.92699
restaurants,12728511,4.2,빠리가옥,Maison de Paris,37.573338,126.99027
restaurants,12788281,4.846153846153846,잇텐고,Ittengo,37.54936,126.90927
restaurants,12804718,4.090909090909091,시그니엘 서울 더 라운지,SIGNIEL Seoul The Lounge,37.512768,127.10255
restaurants,12804774,3.8333333333333335,바81,Bar 81,37.512794,127.10256
restaurants,12815119,5.0,민속촌,Min Sok Chon,37.561832,126.98689
restaurants,12816933,4.0,허유산 IFC몰점,Hui Lau Shan IFC Mall,37.521072,126.93113
restaurants,12816960,3.6666666666666665,코요테살룬,Coyote Saloon,37.556534,126.97531
restaurants,12817050,3.6666666666666665,엘 꾸비또,El Cubito,37.56974,126.97204
restaurants,12837120,4.0,랑만,Langman,37.533756,126.99117
restaurants,12847250,5.0,구공탄곱창,Gugongtan Gopchang,37.548485,126.91849
restaurants,12864496,4.0,All in a cup,All in a cup,37.554577,126.92931
restaurants,12868747,5.0,하나샤브샤브,Hana Shabu Shabu,37.705555,127.18889
restaurants,12876281,4.0,육전식당 4호점,Yukjeon Sikdang 4th,37.497986,127.032
restaurants,12878725,4.944444444444445,셰프팔레트,Chef's Palette,37.504723,127.02722
restaurants,12905936,4.695652173913044,또이또이베트남,Toitoi Vietnam,37.533936,126.98901
restaurants,12906960,4.0,네모집 역삼점,Nemojib Yeoksam,37.502995,127.03747
restaurants,12907012,3.6666666666666665,고기꾼김춘배 종로점,Gogikkun Kim Chun Bae Jongno,37.569138,126.986404
restaurants,12909723,5.0,일상별식,Ilsangbyulsik,37.553635,126.92137
restaurants,12912792,3.769230769230769,캄풍구,Kampungku,37.559097,126.9859
restaurants,12930325,4.72,아보카두,Avocadoo,37.569374,126.97945
restaurants,12932473,5.0,두꺼비사철탕,Dukkeobi Sacheoltang,37.56254,127.00498
restaurants,12936573,4.5,바이트투헤븐,Bite2Heaven,37.496983,127.02884
restaurants,12936608,4.909090909090909,Hajj Korea Halal Food,Hajj Korea Halal Food,37.533325,126.99802
restaurants,12944747,4.571428571428571,Buddha's Belly,Buddha's Belly,37.503334,127.005
restaurants,12945811,5.0,고사부,Koh Shifu,37.556892,126.975136
restaurants,12945884,4.5,서울리스타,Seoulista,37.557064,126.97502
restaurants,12949477,5.0,The Black Whale Bar,The Black Whale Bar,37.54586,126.973976
restaurants,12980597,4.75,팻알버트,Fat Albert's,37.534966,126.99321
restaurants,12993002,5.0,대독장 삼성역점,Daedokjang Samseong Station,37.507057,127.06289
restaurants,12998032,5.0,Donstar,Donstar,37.511944,126.92167
restaurants,13009588,5.0,블루브릿지,Blue Bridge,37.534576,126.99714
restaurants,13123633,5.0,유타로 이태원점,Utaro Itaewon,37.53473,126.99804
restaurants,13127719,4.428571428571429,탭퍼블릭,Tap Public,37.537094,127.00108
